training supervised accuracy;		training supervised loss;		training supervised weight;		training unsupervised accuracy;		training unsupervised loss;		training total loss		validation supervised accuracy;		 validation attention accuracy		validation ensemble accuracy;
0.811858		0.515075		0.332375		0.738692		0.019925		0.441187		0.758000		0.712800		0.770000
0.776536		0.523398		0.317612		0.738872		0.024508		0.455640		0.730400		0.712800		0.765600
0.748784		0.587048		0.317385		0.738872		0.031173		0.507781		0.788800		0.712800		0.760000
0.807172		0.541804		0.317367		0.738872		0.018156		0.451741		0.752800		0.714000		0.760800
0.764642		0.555130		0.317391		0.739232		0.020465		0.467175		0.738400		0.714000		0.764800
0.745360		0.557948		0.317437		0.739232		0.024303		0.475612		0.784000		0.714000		0.761600
0.798162		0.552766		0.317564		0.739232		0.019096		0.459691		0.794400		0.714000		0.762400
0.816544		0.555690		0.317846		0.739232		0.017923		0.460866		0.796400		0.714000		0.770400
0.812759		0.545436		0.318538		0.739232		0.018756		0.457252		0.783200		0.714000		0.775200
0.797801		0.535500		0.320501		0.739232		0.022806		0.460626		0.795200		0.714000		0.779600
0.809155		0.534574		0.326517		0.739232		0.020848		0.453847		0.793200		0.714000		0.784800
0.809335		0.540944		0.344415		0.739232		0.018769		0.457456		0.796000		0.714000		0.784400
0.816363		0.532288		0.351084		0.739232		0.019218		0.454632		0.793600		0.714000		0.780000
0.815642		0.527611		0.325849		0.739232		0.023209		0.454726		0.802800		0.714000		0.781600
0.820688		0.529466		0.320140		0.739232		0.022091		0.451158		0.804400		0.714000		0.781200
0.823031		0.530398		0.318701		0.739232		0.021900		0.451488		0.800000		0.714000		0.782800
0.822130		0.525951		0.318272		0.739232		0.022627		0.450580		0.802000		0.714000		0.780000
0.823932		0.526442		0.318230		0.739232		0.021839		0.448572		0.800800		0.714000		0.777200
0.823572		0.529555		0.318557		0.739232		0.020484		0.448040		0.800000		0.714000		0.777200
0.822671		0.527899		0.319855		0.739232		0.020131		0.447481		0.794800		0.714000		0.774800
0.817625		0.527997		0.326131		0.739232		0.019282		0.447264		0.794800		0.714000		0.780400
0.815462		0.531587		0.360091		0.739232		0.015260		0.447565		0.792000		0.714000		0.769200
0.814021		0.531884		0.317415		0.739232		0.019065		0.447834		0.791200		0.714000		0.766400
0.810056		0.529395		0.317322		0.739232		0.019496		0.447563		0.788000		0.714000		0.770000
0.812399		0.529311		0.317318		0.739232		0.019157		0.446212		0.792400		0.714000		0.770800
0.813660		0.527919		0.317322		0.739232		0.019232		0.445627		0.791200		0.714000		0.770800
0.814201		0.524571		0.317349		0.739232		0.019842		0.444919		0.795600		0.714000		0.773200
0.816544		0.523124		0.317374		0.739232		0.020094		0.443925		0.798000		0.714000		0.771600
0.818346		0.522720		0.317443		0.739232		0.020214		0.443564		0.800000		0.714000		0.773200
0.819247		0.520926		0.317596		0.739052		0.020641		0.443289		0.801200		0.714000		0.774000
0.819607		0.520460		0.317888		0.739052		0.020670		0.442671		0.802400		0.714000		0.776400
0.821229		0.520050		0.318487		0.739052		0.020574		0.442180		0.803200		0.713200		0.778800
0.820148		0.519167		0.319935		0.738692		0.020422		0.441565		0.802400		0.712800		0.778400
0.820869		0.519119		0.324871		0.738692		0.019785		0.441078		0.800000		0.712800		0.776800
0.821950		0.518667		0.342076		0.738692		0.018554		0.441391		0.797200		0.713600		0.773200
0.821950		0.519342		0.319646		0.739773		0.019864		0.440532		0.794400		0.714000		0.771600
0.817084		0.517452		0.317886		0.739232		0.020337		0.440319		0.799600		0.714000		0.775200
0.818706		0.519238		0.317545		0.739232		0.019779		0.439718		0.791600		0.714000		0.773200
0.811858		0.514291		0.317434		0.739232		0.021081		0.440320		0.794800		0.714000		0.772800
0.814922		0.527025		0.317409		0.739232		0.019609		0.443549		0.774800		0.714000		0.776400
0.791494		0.518034		0.317405		0.739232		0.025648		0.455509		0.751200		0.714000		0.761200
0.777437		0.568441		0.317414		0.739232		0.022484		0.476290		0.784400		0.714000		0.768000
0.810777		0.534444		0.317458		0.739232		0.019306		0.449173		0.721200		0.714000		0.766800
0.719589		0.547656		0.317586		0.739232		0.037414		0.503095		0.760400		0.714000		0.754000
0.793296		0.562260		0.317944		0.739232		0.019737		0.466595		0.751200		0.714000		0.751600
0.780501		0.578869		0.319499		0.739232		0.020296		0.478507		0.765600		0.714000		0.750000
0.789692		0.565904		0.333026		0.739953		0.016396		0.467415		0.754000		0.714000		0.771600
0.762660		0.564110		0.536310		0.741575		0.008365		0.481037		0.744000		0.714000		0.753200
0.750225		0.557911		0.337944		0.739232		0.019794		0.468793		0.763200		0.714000		0.758400
0.771851		0.554312		0.317621		0.739232		0.018985		0.462267		0.780800		0.714000		0.760800
0.798342		0.548857		0.317647		0.739232		0.018976		0.458191		0.776000		0.714000		0.761600
0.799423		0.550953		0.317725		0.739232		0.020556		0.462155		0.785200		0.714000		0.766800
0.805911		0.542777		0.317828		0.739232		0.020078		0.456528		0.780800		0.714000		0.770800
0.797801		0.536408		0.318001		0.739232		0.020196		0.454466		0.775600		0.714000		0.771600
0.789872		0.535597		0.318271		0.739232		0.021283		0.455734		0.786800		0.714000		0.776000
0.805911		0.531628		0.318699		0.739232		0.020820		0.450885		0.795600		0.714000		0.775200
0.814201		0.533021		0.319392		0.739232		0.021164		0.452043		0.800400		0.714000		0.779200
0.816904		0.532285		0.320554		0.739232		0.021148		0.451772		0.797600		0.714000		0.778400
0.817084		0.528423		0.322565		0.739232		0.020536		0.449345		0.790000		0.714000		0.779600
0.810777		0.528488		0.326210		0.739232		0.020299		0.449746		0.796000		0.714000		0.781200
0.815823		0.528613		0.333734		0.739232		0.018882		0.447824		0.798400		0.714000		0.783200
0.821770		0.530607		0.333995		0.739232		0.018336		0.447833		0.803600		0.714000		0.781600
0.824112		0.532334		0.324415		0.739232		0.019045		0.448525		0.796000		0.714000		0.777200
